id,contestId,creationTimeSeconds,relativeTimeSeconds,problem,author,programmingLanguage,verdict,testset,passedTestCount,timeConsumedMillis,memoryConsumedBytes
298234151,2043,1735053124,2224,"{'contestId': 2043, 'index': 'C', 'name': 'Sums on Segments', 'type': 'PROGRAMMING', 'tags': ['binary search', 'brute force', 'data structures', 'dp', 'greedy', 'math']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),OK,TESTS,33,218,21913600
298229781,2043,1735052816,1916,"{'contestId': 2043, 'index': 'C', 'name': 'Sums on Segments', 'type': 'PROGRAMMING', 'tags': ['binary search', 'brute force', 'data structures', 'dp', 'greedy', 'math']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,61,0
298215233,2043,1735051824,924,"{'contestId': 2043, 'index': 'B', 'name': 'Digits', 'type': 'PROGRAMMING', 'tags': ['math', 'number theory']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),OK,TESTS,6,46,0
298212306,2043,1735051633,733,"{'contestId': 2043, 'index': 'B', 'name': 'Digits', 'type': 'PROGRAMMING', 'tags': ['math', 'number theory']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,62,0
298199343,2043,1735050979,79,"{'contestId': 2043, 'index': 'A', 'name': 'Coin Transformation', 'type': 'PROGRAMMING', 'tags': ['brute force', 'math']}","{'contestId': 2043, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1735050900}",C++20 (GCC 13-64),OK,TESTS,4,46,0
297960558,2051,1734889202,2147483647,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),OK,TESTS,23,124,0
297959757,2051,1734888856,2147483647,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,46,0
297949353,2051,1734886064,7964,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,46,0
297946535,2051,1734885836,7736,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,46,102400
297942591,2051,1734885484,7384,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,77,0
297939153,2051,1734885172,7072,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,46,0
297931612,2051,1734884506,6406,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,62,0
297928505,2051,1734884238,6138,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,46,0
297913010,2051,1734882997,4896,"{'contestId': 2051, 'index': 'F', 'name': 'Joker', 'type': 'PROGRAMMING', 'tags': ['brute force', 'greedy', 'implementation', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,62,0
297873722,2051,1734880552,2452,"{'contestId': 2051, 'index': 'E', 'name': 'Best Price', 'type': 'PROGRAMMING', 'tags': ['binary search', 'brute force', 'data structures', 'greedy', 'sortings']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),OK,TESTS,36,561,20275200
297873617,2051,1734880546,2446,"{'contestId': 2051, 'index': 'D', 'name': 'Counting Pairs', 'type': 'PROGRAMMING', 'tags': ['binary search', 'sortings', 'two pointers']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),OK,TESTS,10,109,102400
297873560,2051,1734880544,2444,"{'contestId': 2051, 'index': 'C', 'name': 'Preparing for the Exam', 'type': 'PROGRAMMING', 'tags': ['constructive algorithms', 'implementation']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),OK,TESTS,10,218,15257600
297873471,2051,1734880539,2439,"{'contestId': 2051, 'index': 'B', 'name': 'Journey', 'type': 'PROGRAMMING', 'tags': ['binary search', 'math']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),OK,TESTS,5,62,0
297873345,2051,1734880534,2434,"{'contestId': 2051, 'index': 'A', 'name': 'Preparing for the Olympiad', 'type': 'PROGRAMMING', 'tags': ['greedy']}","{'contestId': 2051, 'members': [{'handle': 'Jiangnan111'}], 'participantType': 'OUT_OF_COMPETITION', 'ghost': False, 'startTimeSeconds': 1734878100}",C++20 (GCC 13-64),OK,TESTS,5,61,102400
297769434,103055,1734857742,14142,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,61,102400
297769365,103055,1734857707,14107,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,2,46,0
297769244,103055,1734857650,14050,"{'contestId': 103055, 'index': 'F', 'name': 'Fair Distribution', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,0,62,0
297769145,103055,1734857607,14007,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,25,62,102400
297768912,103055,1734857488,13888,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,61,0
297768863,103055,1734857462,13862,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,6,1000,102400
297768686,103055,1734857377,13777,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,0,1000,0
297768644,103055,1734857354,13754,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,0
297768487,103055,1734857275,13675,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,6,1000,0
297768373,103055,1734857215,13615,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,102400
297768315,103055,1734857182,13582,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,102400
297768234,103055,1734857139,13539,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,0
297768198,103055,1734857112,13512,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,62,0
297768148,103055,1734857086,13486,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,1,1000,0
297768111,103055,1734857058,13458,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,4,1000,0
297767996,103055,1734857008,13408,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,1,1000,0
297767905,103055,1734856967,13367,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,0
297767448,103055,1734856766,13166,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,102400
297767080,103055,1734856595,12995,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,102400
297766992,103055,1734856552,12952,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,1,31,0
297765851,103055,1734855985,12385,"{'contestId': 103055, 'index': 'D', 'name': 'Shortest Path Query', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,2,109,0
297764222,103055,1734855118,11518,"{'contestId': 103055, 'index': 'D', 'name': 'Shortest Path Query', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,2,62,0
297760855,103055,1734853244,9644,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,62,0
297757948,103055,1734851778,8178,"{'contestId': 103055, 'index': 'G', 'name': 'Wall Game', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),OK,TESTS,14,1437,95744000
297757350,103055,1734851481,7881,"{'contestId': 103055, 'index': 'G', 'name': 'Wall Game', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),TIME_LIMIT_EXCEEDED,TESTS,1,4000,36761600
297754813,103055,1734850192,6592,"{'contestId': 103055, 'index': 'F', 'name': 'Fair Distribution', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),OK,TESTS,3,31,0
297753836,103055,1734849602,6002,"{'contestId': 103055, 'index': 'I', 'name': 'Grammy and Ropes', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,6,46,0
297752900,103055,1734849023,5423,"{'contestId': 103055, 'index': 'L', 'name': 'String Freshman', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),OK,TESTS,35,62,102400
297752420,103055,1734848733,5133,"{'contestId': 103055, 'index': 'L', 'name': 'String Freshman', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,3,31,0
297752101,103055,1734848516,4916,"{'contestId': 103055, 'index': 'L', 'name': 'String Freshman', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),WRONG_ANSWER,TESTS,5,46,0
297751485,103055,1734848121,4521,"{'contestId': 103055, 'index': 'J', 'name': 'Grammy and Jewelry', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),OK,TESTS,118,93,102400
297750650,103055,1734847598,3998,"{'contestId': 103055, 'index': 'C', 'name': 'Cube', 'type': 'PROGRAMMING', 'tags': []}","{'contestId': 103055, 'members': [{'handle': 'T-mas'}, {'handle': 'FXLY_awa'}, {'handle': 'Jiangnan111'}], 'participantType': 'VIRTUAL', 'teamId': 161339, 'teamName': '50thICPC_计科_预训练队伍', 'ghost': False, 'startTimeSeconds': 1734843600}",C++20 (GCC 13-64),OK,TESTS,100,93,102400
